File Name,Lines
opengl_constants.che,651
signed_distance_field_renderer.che,523
opengl_functions.che,338
io.che,303
string.che,249
glfw3.che,201
lexer.che,194
stack_allocator.che,163
token.che,153
trait_function_call_performance.che,109
array.che,86
glfw3_example.che,82
opengl_types.che,71
math.che,70
counting_allocator.che,52
memory.che,31
main.che,29
util.che,25
stdio.che,24
windows.che,21
test.che,17
std_heap_allocator.che,16
file.che,15
glew.che,15
allocator.che,5
opengl.che,4
bmp.che,2
Total,3449
