File Name,Lines
imgui_binding.che,6561
glad_binding.che,2890
clang.che,1185
099_largest_exponential.che,1018
lexer.che,835
windows_constants.che,738
main.che,716
constants.che,652
glfw3.che,577
signed_distance_field_renderer.che,515
main.che,511
shmup_engine.che,476
pathtracer.che,454
string.che,446
compiler.che,432
objects.che,400
glfw3_example.che,398
math.che,377
clap.che,377
graphyfier.che,339
functions.che,339
geometry_draw_thingy.che,321
preload.che,301
pixel_game_engine.che,275
random.che,275
image_processing.che,256
compiler_test.che,253
cli.che,236
pge_render_functions.che,231
fmt.che,221
windows_types.che,206
thread.che,191
array.che,190
compiler.che,189
postfix.che,189
olc_win.che,183
lua.che,171
glfw_binding.che,165
018_maximum_path_sum_1.che,155
shader.che,154
stack_allocator.che,151
profiling.che,151
misc.che,151
hash_table.che,150
snake.che,146
print_any.che,141
windows_functions.che,137
evaluator.che,135
013_large_sum.che,131
arena_allocator.che,128
heap.che,127
printable.che,127
builtin_operators.che,114
material.che,113
error_handler.che,112
iterator.che,112
ast.che,111
file.che,110
hash_table1.che,108
key.che,107
trait_function_call_performance.che,104
mt.che,104
command_line_parser.che,103
matrix.che,103
match2.che,102
traits.che,98
ring_queue.che,96
main.che,90
fs.che,85
017_number_letter_counts.che,82
pge_helper_functions.che,82
test2.che,81
unicode.che,79
test1.che,79
if_else.che,76
references.che,76
block_break.che,75
test.che,75
allocator2.che,75
string1.che,74
named_return.che,73
loop.che,72
sprite.che,71
io.che,70
type.che,69
match3.che,68
operator_overloading.che,67
fiber.che,67
properties.che,66
array1.che,66
allocator1.che,60
parser.che,58
fat_functions_1.che,57
loop2.che,56
main.che,55
arena_allocator1.che,54
match.che,54
cast.che,53
011_largest_product_in_a_grid.che,53
counting_allocator.che,51
local_variables.che,49
time.che,48
struct.che,46
process.che,46
fat_functions_2.che,45
string_database.che,45
enums1.che,45
block_break_variables.che,44
functions.che,42
all_include.che,41
bug1.che,41
opencv.che,41
quad.che,40
struct4.che,38
texture.che,38
pointer.che,35
traits1.che,35
lua_example.che,35
printf.che,34
allocator.che,32
004_largest_palindrome_product.che,31
rc.che,30
stack.che,30
opengl_utils.che,29
hash.che,29
016_power_digit_sum.che,28
pixel.che,28
007_10001st_prime.che,28
tuple.che,26
struct2.che,26
stdio.che,26
014_longest_collatz_sequence.che,26
bug2.che,25
010_summation_of_primes.che,25
struct3.che,25
012_highly_divisible_triangular_number.che,24
cheez_compiler.che,24
named_and_default_parameters.che,23
c.che,23
stack_allocator.che,23
008_largest_product_in_a_series.che,21
015_lattice_paths.che,20
util.che,20
opengl.che,20
box.che,20
std_heap_allocator.che,18
002_even_fibonacci_numbers.che,18
009_special_pythagorean_triplet.che,17
block_expr.che,17
const_and_poly.che,17
types.che,16
003_largest_prime_factor.che,16
glew.che,15
005_smallest_multiple.che,14
global_variables.che,14
006_sum_square_difference.che,13
001_multiples_of_3_and_5.che,12
string2.che,10
printf.che,10
bitwise_operators.che,9
math.che,9
linux.che,7
windows.che,7
0_template.che,6
windows_macros.che,4
bmp.che,4
alloca.che,1
Total,31643
